date,title,jurisdiction,proceeding_docket,filing_type,file_path
2024-04-19,MI V2G and ESS Compensation Discussion Comments,Michigan,,Comments,filings/2024-04-19_MI-V2G-and-ESS-Compensation-Discussion-Comments.pdf
2024-04-29,CA SCE Low Carbon Fuel Standard Holdback Funds Implementation Plan Response,California,Advice Letter 5271-E,Response,filings/2024-04-29_CA-SCE-Low-Carbon-Fuel-Standard-Holdback-Funds.pdf
2024-05-01,MD Evaluation of Phase I Utility Programs Comments,Maryland,Case No. 9478,Comments,filings/2024-05-01_MD-Evaluation-of-Phase-I-Utility-Programs-Comments.pdf
2024-05-03,CA Energization Timelines OIR Scoping Memo and Ruling Comments,California,,Comments,filings/2024-05-03_CA-Energization-Timelines-OIR-Scoping-Memo-and-Ruling.pdf
2024-05-08,CA SCE Vehicle-to-Grid Resource Proposal Response,California,,Response,filings/2024-05-08_CA-SCE-Vehicle-to-Grid-Resource-Proposal-Response.pdf
2024-05-14,IL ComEd Beneficial Electrification Pilots Comments,Illinois,,Comments,filings/2024-05-14_IL-ComEd-Beneficial-Electrification-Pilots-Comments.pdf
2024-05-17,CA Energization Timelines OIR Scoping Memo and Ruling Reply Comments,California,,Reply Comments,filings/2024-05-17_CA-Energization-Timelines-OIR-Scoping-Memo-and-Ruling-Reply.pdf
2024-05-21,CA Motion to Scope Power Control Systems and Flexible Connection Agreements in High DER OIR Response,California,,Response,filings/2024-05-21_CA-Motion-to-Scope-Power-Control-Systems-and-Flexible.pdf
2024-05-23,CA SCE Dynamic Rate Pilot Extension Dual Participation Supplemental Advice Letter Protest,California,Advice Letter 5285-E-A,Protest,filings/2024-05-23_CA-SCE-Dynamic-Rate-Pilot-Extension-Dual-Participation.pdf
2024-05-28,CA High DER Staff Proposal Comments,California,R.24-01-018,Comments,filings/2024-05-28_CA-High-DER-Staff-Proposal-Comments.pdf
2024-06-18,CA Energization Timelines OIR ALJ Ruling Comments,California,,Comments,filings/2024-06-18_CA-Energization-Timelines-OIR-ALJ-Ruling-Comments.pdf
2024-06-25,CA PG&E VGI Pilots Rate Design Draft Resolution Comments,California,"Advice Letter
6694-E",Comments,filings/2024-06-25_CA-PG-E-VGI-Pilots-Rate-Design-Draft-Resolution-Comments.pdf
2024-06-30,NY ConEd Modifications to Commercial Managed Charging Program Comments,New York,E-0236,Comments,filings/2024-06-30_NY-ConEd-Modifications-to-Commercial-Managed-Charging.pdf
2024-07-02,CA $1 Billion TE Rebate Program Pause Comments,California,,Comments,filings/2024-07-02_CA-1-Billion-TE-Rebate-Program-Pause-Comments.pdf
2024-07-08,CA Smart Inverter Operationalization Working Group Report Comments,California,,Comments,filings/2024-07-08_CA-Smart-Inverter-Operationalization-Working-Group-Report.pdf
2024-07-18,CA $1 Billion TE Rebate Program Pause Reply Comments,California,,Reply Comments,filings/2024-07-18_CA-1-Billion-TE-Rebate-Program-Pause-Reply-Comments.pdf
2024-07-22,CA Smart Inverter Operationalization Working Group Report Reply Comments,California,,Reply Comments,filings/2024-07-22_CA-Smart-Inverter-Operationalization-Working-Group-Report.pdf
